Recency,Frequency,MonetaryValue
18,61,961.24
10,47,817.64
32,4,57.7
76,20,46.81
2,11,245.25
4,33,585.84
46,3,189.6
5,143,3771.400000000001
358,1,106.2
19,6,66.22
69,21,175.29
321,4,12.65
26,2,32.4
9,17,251.54
323,4,67.02
72,3,25.16
261,1,19.5
19,15,468.77
67,7,337.7999999999999
155,4,100.45
30,18,117.41
71,6,56.4
15,5,88.86
2,26,1636.38
2,41,3379.11
120,9,138.72
61,1,19.8
4,58,1701.8099999999995
3,1,3861.0
11,8,683.5500000000002
93,2,50.40000000000001
95,1,49.05
88,11,314.8400000000001
26,30,429.08000000000015
358,1,59.40000000000001
86,10,137.44000000000003
100,1,61.2
2,6,202.85
226,2,70.11
61,8,136.14
330,6,81.60000000000002
2,28,452.2900000000001
47,6,103.75
11,32,982.87
177,2,25.5
52,28,419.18
226,3,189.2
359,1,13.2
235,4,65.1
311,1,15.3
37,9,162.77
67,20,456.42
241,6,89.4
114,9,190.66
277,1,1.92
218,25,381.69000000000017
299,4,96.0
79,17,227.53
30,10,263.41
11,4,53.0
45,14,229.8100000000001
67,19,317.14
75,4,49.25
66,7,159.36
135,18,701.8199999999997
239,4,52.8
123,1,81.6
32,72,1327.16
10,29,3027.21
37,10,166.49
17,15,248.24999999999997
128,6,116.03
67,13,242.06000000000003
284,3,92.05
169,8,127.45
143,6,129.1
136,1,17.4
107,4,44.82000000000001
65,3,50.55
152,17,313.74
339,1,17.85
183,2,550.8
24,1,118.8
16,9,263.75
8,59,521.3399999999998
58,13,132.54
5,8,108.26
38,9,146.73000000000005
67,12,22.17
47,3,35.34
355,2,35.2
173,4,23.32
59,39,674.54
50,1,66.4
23,6,111.15
44,15,465.68
30,12,188.07
5,44,1701.8000000000004
26,18,571.7799999999999
202,5,40.75
51,45,768.3299999999998
11,8,141.42000000000004
3,34,1558.1799999999996
65,3,48.5
51,43,774.7099999999998
291,4,65.8
61,5,176.5
65,13,243.0
96,1,14.85
275,3,60.6
1,447,11758.489999999983
76,6,128.24
200,5,70.08
65,6,91.38
327,1,165.0
4,5,36.96
284,1,17.700000000000006
45,7,55.55
71,20,611.7000000000003
86,9,160.83999999999997
104,15,61.25999999999999
334,6,60.78
53,1,10.2
40,15,213.68
61,1,69.6
209,3,378.54
157,22,63.34999999999999
54,6,17.9
67,15,103.57
81,4,517.36
130,7,103.2
88,6,109.2
33,5,107.56
46,1,29.9
333,3,47.10000000000001
73,1,15.0
159,12,67.76
13,38,326.1300000000001
255,8,59.90000000000001
30,2,55.6
32,103,530.09
5,105,1725.9399999999994
40,2,49.6
362,3,253.32
96,5,89.56000000000002
26,19,430.58000000000015
76,12,166.44
58,14,369.12
22,1,279.24
72,19,463.45
138,6,449.56
9,23,425.07
41,24,314.19
170,45,867.5199999999996
9,7,198.2
15,62,1337.9600000000005
170,7,103.99
41,1,10.2
187,3,35.28
5,19,393.58
282,3,43.2
10,12,354.72
326,2,31.85
113,6,101.28
290,1,14.85
17,12,239.34000000000003
2,12,186.22
129,2,105.4
149,6,68.5
190,2,15.44
32,13,91.3
34,28,329.27
265,10,110.75
85,25,633.1500000000002
27,23,321.4500000000001
172,1,11.8
10,5,96.58
314,12,158.35000000000005
65,28,552.7900000000002
86,6,111.0
25,2,34.4
59,6,112.1
324,1,15.3
255,3,49.56
20,38,183.03000000000003
34,49,213.14999999999995
16,3,46.62000000000001
27,14,104.09000000000002
24,2,40.2
268,4,55.56
9,6,141.5
23,6,35.74999999999999
13,69,231.13
263,11,56.43000000000001
132,3,26.3
55,14,56.44
2,87,771.3
10,53,334.6500000000001
265,1,25.5
331,2,28.52
313,6,96.2
27,12,211.43
31,2,25.4
30,14,172.77000000000004
2,67,278.2899999999999
363,7,48.55
284,12,70.84
263,9,32.97
26,1,23.4
355,6,17.549999999999994
95,1,19.8
30,2,45.8
339,33,177.55
83,16,896.7499999999999
86,11,45.25000000000001
10,9,97.98
52,5,95.75
51,3,75.6
3,13,53.45
114,15,59.8
15,2,306.0
78,6,98.61
41,12,230.69
16,17,1770.2
162,22,52.84
2,36,760.8399999999998
31,10,177.67
23,15,435.46
101,32,595.54
75,7,122.32
33,49,320.50999999999993
22,27,322.2800000000001
18,4,288.6
3,99,2621.03
9,18,330.0
16,30,1135.3299999999995
363,14,41.6
82,4,16.9
53,21,972.86
23,33,221.00000000000003
172,12,146.47
190,21,281.84
12,34,230.19
360,1,15.3
34,73,3305.510000000001
13,39,1022.49
47,4,9.9
234,8,95.78000000000002
65,46,411.76999999999987
2,4,64.38
41,31,387.13
33,9,45.86
85,3,252.50000000000003
3,21,107.46999999999998
19,31,661.54
255,8,123.61
23,133,700.5699999999996
22,21,326.0
9,55,491.74000000000007
26,43,332.23
20,18,163.36
174,24,168.38999999999996
164,3,7.5
8,9,119.87
12,3,37.65000000000001
115,6,23.73
289,9,38.5
10,48,647.1
55,13,38.88
8,138,1077.1000000000008
158,21,330.85
5,13,127.95
37,5,101.0
218,4,7.78
61,8,70.53
278,2,25.2
13,174,851.3299999999998
25,5,79.08
29,5,118.26
12,4,65.46000000000001
23,21,312.29
71,1,16.5
19,1,24.96
3,10,126.91
104,5,552.98
11,62,842.89
12,12,186.63
5,41,591.49
32,19,127.43000000000002
178,7,47.07
38,10,134.29999999999998
152,10,65.77000000000001
69,9,62.71
157,35,147.32000000000005
221,5,63.48
24,18,88.55
177,7,121.25
51,2,111.96
256,6,90.1
47,5,94.74
71,1,71.4
31,22,378.82
215,11,223.0
36,3,32.160000000000004
54,3,63.06
27,10,136.33
12,69,1102.12
9,11,305.22
53,2,36.52
37,8,134.3
62,18,687.63
337,5,54.76
29,11,271.78
185,6,112.68
52,3,53.14
10,7,197.85
37,3,124.1
11,80,2145.8
33,11,165.951
57,13,186.9
5,3,198.72
44,45,925.82
142,4,60.13
136,6,88.53
104,14,314.1
75,11,139.48000000000002
5,26,477.0
46,12,212.74
16,32,624.4
18,4,65.7
90,4,117.0
53,2,36.90000000000001
135,2,15.12
5,91,2297.7
106,10,177.4
283,5,76.69999999999997
167,46,147.33999999999997
19,12,138.21
247,2,28.200000000000006
205,7,199.3
37,8,154.86
92,6,102.8
93,2,432.12
10,4,103.56
244,8,123.71
46,16,253.3
23,1,30.0
198,6,109.2
44,2,45.0
26,21,372.34
318,1,6.6000000000000005
107,2,29.04
51,2,33.36
169,21,415.47
40,3,70.56
104,5,151.02
297,7,106.5
26,8,299.46
89,44,799.27
74,23,371.87
156,3,29.72
19,46,824.4599999999998
50,12,240.15
53,2,36.0
25,29,156.06
10,8,121.62999999999998
26,8,178.04
118,1,17.4
9,34,634.0499999999997
362,2,45.6
5,4,46.2
29,2,37.2
26,10,451.89
267,3,81.44999999999997
34,26,403.94
18,3,50.38
173,11,104.39
3,44,228.64999999999995
141,26,462.36
202,2,75.9
65,7,159.35
36,42,170.42000000000004
41,49,557.7999999999998
284,2,36.8
10,10,174.89999999999995
144,1,53.1
12,3,10.75
146,13,70.21
235,1,19.8
33,175,1033.0800000000004
25,32,198.05
12,23,186.96000000000004
36,15,429.75000000000006
365,8,20.55
285,1,23.4
16,10,130.42999999999998
17,68,1324.6800000000007
213,1,15.0
66,17,304.76
213,3,51.00000000000001
283,3,42.8
115,4,57.0
15,13,233.95
19,35,976.69
67,3,103.6
50,1,24.9
17,24,167.73
20,13,201.21
135,5,42.48
13,17,207.16000000000003
41,3,31.75
236,3,13698.5
3,51,417.85
40,72,428.15
52,7,105.33
11,27,465.07
62,34,90.83
66,10,178.09999999999997
25,1,29.700000000000006
359,1,5.04
66,11,151.49
32,15,244.99
89,45,794.6299999999999
65,1,15.0
204,6,71.5
8,27,10867.38
6,2,18.4
69,5,75.0
246,1,17.700000000000006
134,5,69.82
242,5,296.85
243,9,160.1
26,3,55.7
10,9,481.22
11,1,19.8
33,19,449.02000000000015
47,61,1195.53
27,39,144.45000000000005
359,5,56.94
11,7,37.14
44,10,244.7
40,2,93.36
150,12,198.37
2,33,624.5300000000002
305,1,244.8
76,18,140.59
108,26,181.64
47,13,194.59
52,2,119.54
1,34,501.41000000000014
24,68,1173.3200000000004
47,4,139.85
51,12,253.58
307,25,441.25
37,7,102.29
171,16,253.70000000000005
23,29,470.89000000000016
108,11,479.2
208,7,208.0
17,15,492.5100000000001
64,5,268.02
50,24,318.57
320,2,15.9
45,12,93.25
4,8,317.0
173,5,59.22
57,13,331.3400000000001
74,23,390.91
100,13,177.17999999999995
38,4,53.36
59,16,195.01
255,12,179.79999999999995
71,64,527.1799999999998
45,12,205.48
51,2,29.75
65,5,85.5
12,40,5408.04
34,16,277.1
59,5,72.36
73,4,80.94
304,3,43.2
47,1,10.2
18,25,703.4300000000002
39,4,53.1
20,23,55.96
198,4,11.57
52,6,21.22
5,23,367.19999999999993
137,13,142.29999999999995
5,124,3059.1299999999987
19,5,140.1
16,34,196.54999999999995
41,26,184.47
13,100,528.4700000000001
9,17,105.92000000000002
26,3,21.4
27,4,398.28000000000014
41,7,116.9
102,11,71.47000000000001
6,95,919.6
278,4,63.88999999999999
33,24,148.94
15,24,70.94999999999997
64,25,1259.52
2,29,105.09
313,7,88.85000000000002
199,1,5.9
3,15,74.73
94,1,17.700000000000006
61,3,32.35
81,2,14.07
157,4,10.94
227,11,112.78
150,3,14.33
195,6,26.65
2,4,81.55
24,6,30.28
17,20,63.99
10,17,1038.4800000000002
9,9,36.96
20,36,393.33
4,47,238.41
174,1,19.8
1,52,206.56
234,2,43.35
17,31,311.07999999999987
248,2,14.750000000000002
191,5,34.550000000000004
20,23,82.49000000000002
155,11,22.880000000000006
173,4,40.97
195,2,22.4
68,4,75.8
5,16,300.02
22,12,176.90000000000003
240,4,323.94
65,1,19.8
135,13,1160.08
134,2,57.7
277,1,17.700000000000006
83,7,301.96
9,13,190.89
17,4,67.64
32,22,339.99000000000007
9,10,154.25
34,14,119.41
16,16,264.81
25,28,931.21
32,8,42.97000000000001
75,1,3.95
20,7,111.56
18,28,199.49000000000004
24,17,63.95
3,1,39.8
304,2,33.0
53,5,383.7
40,41,717.5900000000001
85,7,103.65
166,26,89.25999999999998
18,9,87.41000000000003
78,6,132.28
89,7,412.87
25,22,614.5
23,13,106.53
3,46,398.7199999999999
124,6,288.6
31,2,30.0
13,21,104.59
20,3,34.7
45,14,180.88
4,1,13.52
9,119,599.8899999999999
55,7,107.15
89,17,114.88000000000004
37,115,733.42
3,2,2771.4
30,19,511.83
13,41,99.64
212,1,23.1
48,82,384.52
24,8,97.3
33,18,201.21
246,10,30.850000000000005
9,43,680.8999999999997
36,9,113.79
8,37,8886.72
153,31,136.86000000000004
4,29,96.26
4,29,213.18
48,3,12.0
40,8,170.97
47,32,816.5900000000001
17,11,206.29000000000005
261,14,110.58
47,12,51.14
13,16,79.81
30,5,84.9
44,6,42.36
138,3,176.25
45,28,14748.47
310,6,77.2
93,25,98.70999999999998
6,244,1933.61
209,4,76.35
88,10,162.09
270,7,270.70000000000005
8,7,171.50000000000003
66,18,436.15
142,1,208.8
23,14,211.93
38,8,130.7
120,21,358.96
41,59,181.09
174,2,32.52
55,6,60.5
33,11,171.13000000000005
146,10,98.98
221,3,60.65
46,16,166.07999999999996
17,31,574.4
72,26,200.25000000000009
10,15,298.94
261,4,57.10000000000001
17,18,185.62
23,5,164.70000000000005
45,4,58.540000000000006
289,4,162.85
4,28,524.97
17,9,533.88
82,1,41.6
57,40,476.8899999999999
101,3,235.79999999999995
300,13,194.25
24,34,236.17
60,5,120.64
155,1,15.0
115,9,146.39999999999995
107,1,17.0
12,14,224.62
265,3,64.98
241,3,55.3
88,13,390.4500000000001
138,6,109.5
71,16,266.98
43,15,423.36
8,9,238.54
62,4,73.9
249,1,20.4
66,2,28.28
104,4,392.4
85,14,279.00000000000006
219,3,47.64
46,71,312.1400000000001
334,1,4.5600000000000005
184,7,44.2
171,2,34.65000000000001
10,60,352.3
212,7,167.82
190,3,23.73
9,3,80.4
60,4,248.48
58,44,204.67000000000004
113,5,72.72
52,2,30.0
318,1,33.9
30,19,1079.75
40,13,202.48
18,19,373.66
52,12,616.52
4,57,1716.15
22,4,63.3
263,4,61.95
60,12,186.66000000000003
19,6,87.7
66,6,78.98
89,6,117.49
250,10,160.38
4,17,266.6
9,47,743.1300000000001
204,7,135.49
134,3,55.5
297,1,76.32000000000002
5,3,48.8
43,16,298.50000000000006
269,3,193.5
50,20,367.29
9,23,503.99
16,5,132.15
282,2,45.0
86,3,86.94
2,85,1034.95
233,1,415.00000000000006
18,7,259.76
34,19,979.16
9,18,363.01999999999987
51,14,174.82000000000005
96,13,206.12
16,21,360.58
127,8,565.95
95,9,159.90999999999997
51,2,34.8
139,2,48.0
61,1,20.28
101,40,1966.55
74,1,19.8
73,3,556.8
68,5,107.13
65,8,196.24
17,8,114.45
23,38,697.9199999999997
32,62,1435.37
45,15,170.86
16,2,29.95
41,1,89.85
3,34,1645.34
237,1,15.0
76,4,117.3
5,23,124.0
4,17,281.6
361,3,30.12
59,4,68.4
24,9,66.75
31,21,196.11999999999995
55,14,88.26
26,3,46.9
45,11,84.96
89,10,1486.7700000000002
2,18,1582.18
89,3,37.6
20,10,189.29999999999995
79,2,27.6
171,8,147.72
81,3,60.90000000000001
268,8,157.63000000000005
236,2,30.65
30,16,753.4199999999997
37,14,87.50000000000001
319,27,175.25
58,18,269.88000000000005
150,26,162.19
208,3,148.5
88,10,278.26
190,6,94.7
44,7,145.0
72,2,39.84
41,8,198.34
79,2,30.76
190,2,90.6
25,23,764.1199999999999
10,135,467.7099999999999
9,58,784.98
34,13,155.83999999999997
212,6,105.9
24,19,270.16
171,3,24.81
62,1,17.700000000000006
53,14,316.4500000000001
262,2,35.4
67,28,863.9900000000004
17,50,444.35000000000014
267,4,204.3
177,1,21.95
46,27,978.1699999999997
51,6,386.15
18,23,125.98000000000002
10,55,1165.89
74,17,178.97
72,11,203.44000000000003
354,15,271.0
16,25,218.37
117,5,85.44999999999997
197,9,148.01
177,2,117.0
101,4,67.9
22,19,252.31000000000003
73,3,544.6800000000002
340,2,12.7
6,44,388.97
32,19,162.80000000000004
122,5,74.78
22,26,438.65
25,8,131.65
269,3,45.5
23,9,163.24
127,4,66.72
26,27,767.66
139,7,130.6
302,8,136.37
107,10,174.52
18,9,145.59000000000003
50,3,51.90000000000001
331,3,40.8
65,30,758.5500000000002
120,13,255.51
36,1,17.700000000000006
2,6,59.32
197,1,207.50000000000003
129,24,76.87000000000003
47,4,118.5
6,64,647.84
15,55,704.3700000000001
18,10,42.33
29,31,337.52999999999986
8,12,8417.36
37,3,49.65
158,1,11.9
285,5,29.3
108,46,160.04999999999995
25,13,255.85
76,3,69.15
17,5,49.76
159,2,101.1
45,7,111.8
12,17,147.32999999999996
33,49,274.14
291,4,15.38
22,10,178.2
333,1,19.5
18,5,80.6
8,20,1494.9499999999996
74,10,112.5
198,6,44.71000000000001
34,8,152.07
2,18,400.02
95,15,258.85
5,134,726.4099999999997
10,19,130.00000000000003
33,9,91.0
54,1,15.0
12,14,196.91
18,12,562.8500000000001
19,2,35.40000000000001
38,26,192.68
3,18,109.45000000000002
19,30,350.29999999999984
83,48,270.98
34,17,65.55000000000001
67,24,77.64000000000001
9,26,213.62
268,1,390.0
297,7,106.4
5,20,402.36
62,5,238.15
75,17,103.3
264,5,80.25
61,7,70.34
29,13,43.23
54,8,255.7
270,14,90.12
3,60,502.34
57,18,339.7700000000001
61,47,335.05000000000007
155,12,215.75
20,13,81.3
95,5,50.88
2,47,1199.97
313,1,15.0
71,6,126.85
19,14,48.32000000000001
13,26,367.0
37,36,327.24
20,7,25.660000000000004
54,4,26.3
57,6,61.64999999999999
22,3,52.4
45,10,16.13
27,17,349.72
45,27,119.76
129,10,238.55
18,75,6592.329999999999
25,2,77.34
192,1,15.9
303,2,30.6
3,73,358.61999999999983
264,2,40.08
107,2,284.55
214,13,95.38
65,1,19.92
29,5,40.6
30,24,334.92
6,15,71.63
8,51,550.5000000000001
68,5,80.3
2,29,76.62000000000002
47,19,108.0
34,11,46.26
206,1,1.25
136,7,72.35000000000002
199,2,20.64
198,8,137.84
150,3,66.06
88,7,126.32
45,1,1.0
64,16,296.45
100,23,288.54
219,1,17.700000000000006
3,39,699.5699999999998
29,20,108.71
178,5,26.75
74,1,68.0
22,15,252.59000000000003
20,51,341.7199999999998
34,36,384.91
75,2,74.9
24,38,143.82000000000005
52,43,267.48
275,2,36.2
165,3,51.0
8,65,336.62000000000006
89,5,167.1
64,30,503.70000000000016
26,4,67.98
11,8,59.63
76,16,203.26
16,4,48.42
193,6,58.55
191,5,71.7
78,9,63.22000000000001
34,4,72.88000000000002
47,11,264.5
80,18,454.93
297,12,188.16000000000003
4,19,118.81
9,21,352.85
50,17,343.44000000000005
162,4,19.8
361,7,122.6
331,1,165.0
107,17,302.10000000000014
26,17,120.68
41,1,19.8
297,5,117.55
22,43,251.50000000000003
20,5,106.1
53,25,316.55
31,1,15.6
278,4,33.0
62,8,150.58
26,1,25.0
187,10,63.85
2,55,1698.6399999999994
38,27,2205.24
172,1,10.0
82,3,61.40000000000001
4,2,23.520000000000003
191,3,40.8
23,16,276.61
18,1,2232.0
20,42,264.7
6,6,79.58
111,11,107.8
3,8,327.21
54,3,79.89999999999998
291,3,70.2
11,191,767.7400000000004
109,42,334.0499999999999
96,8,169.50000000000003
243,1,17.700000000000006
164,15,931.0
43,14,224.05
36,3,37.86
67,35,510.5699999999998
138,1,12.5
1,84,1738.59
27,11,141.97
6,5,76.22
54,4,341.82
365,2,155.85
193,1,29.7
195,8,155.61
4,1,10.5
16,23,807.65
27,13,214.62
128,7,137.55
85,9,118.35
72,6,121.79999999999998
183,1,10.2
114,2,180.12
81,2,44.76000000000001
249,3,178.2
233,5,90.15
72,5,74.9
69,2,44.55
5,44,826.25
51,4,63.15
76,12,44.44
62,25,91.83999999999996
16,1,16.6
5,3,63.5
286,2,21.6
5,15,204.78000000000003
41,8,58.41
37,9,148.20000000000005
75,9,133.25
18,28,473.44
16,45,871.0500000000002
220,1,9.96
187,2,17.54
33,12,208.20000000000005
71,9,170.2
183,3,52.08
16,2,60.40000000000001
236,2,68.7
32,25,779.3099999999997
4,2,40.3
52,7,152.05
81,8,190.44
275,4,55.44
1,43,883.6800000000002
80,4,47.19
30,17,274.94
74,21,153.74999999999997
18,26,519.4399999999998
33,19,290.44999999999993
100,20,308.3
32,16,483.45
106,4,88.34
5,9,164.04
246,7,117.01
178,14,181.94
170,6,74.04
43,2,30.0
72,3,60.6
59,21,1071.29
17,9,199.7
142,8,126.91
18,54,707.1399999999996
43,12,1889.16
10,37,137.27
190,1,20.4
17,6,731.9
363,3,23.4
20,9,54.21
69,14,146.13000000000005
16,2,30.6
24,38,392.33
31,57,896.17
3,20,1149.5
55,16,46.49
34,21,362.54
3,35,773.5199999999999
44,3,56.9
78,6,171.42
5,11,469.19999999999993
5,57,14708.959999999995
62,14,65.38000000000001
48,118,637.1099999999999
2,12,222.72
76,2,53.64000000000001
73,5,69.93
257,2,158.5
69,13,101.6
214,2,213.3
242,1,8.25
254,1,204.0
9,59,946.0
9,29,1000.3099999999997
1,47,2294.3399999999992
38,18,72.62
46,10,183.0
85,16,538.5
20,71,420.5399999999999
27,4,256.08
19,69,570.25
19,115,1308.1199999999994
318,19,170.8
79,1,3.8
267,1,166.8
24,35,690.3700000000001
15,33,268.18
27,4,21.25
263,7,87.82000000000002
18,34,823.98
108,5,87.35000000000002
303,29,147.37
27,30,249.07
365,4,28.85
47,50,172.04999999999995
39,130,1462.8099999999995
53,18,123.87000000000002
32,7,144.12
53,10,78.85999999999999
79,19,385.8
177,3,86.8
47,1,464.9
30,42,541.14
12,43,189.5
87,85,1721.9599999999994
5,71,1090.9299999999996
38,11,190.87
18,15,343.9000000000001
45,22,187.33
31,4,177.24
59,7,29.450000000000006
115,39,325.71
215,5,90.9
319,2,60.60000000000001
66,3,33.15
8,7,131.76
97,4,85.2
20,13,258.02
199,4,143.1
4,130,535.8399999999998
274,8,270.3
31,48,982.7200000000003
48,12,95.7
261,8,77.35
58,28,188.46
34,62,527.5299999999999
58,5,24.1
68,9,126.25
58,26,218.8
61,20,116.14999999999998
81,14,56.82
75,5,71.0
3,74,2278.17
101,12,86.74
18,37,474.75
124,37,128.67
9,2,27.5
4,16,250.30000000000004
30,63,397.90999999999985
283,1,5.1
58,3,36.46
2,44,261.11
90,2,34.739999999999995
12,41,279.14
164,21,411.6
66,3,36.49
24,11,81.0
174,24,103.4
104,21,192.49
143,11,177.62
100,4,44.1
24,28,174.44999999999993
193,5,90.8
5,7,117.49
361,1,14.85
9,96,436.51999999999987
15,47,977.7000000000003
150,6,75.1
3,12,127.64
11,29,564.16
96,5,75.42
228,7,75.35000000000002
16,4,54.96
39,3,59.4
52,6,97.8
94,3,47.4
157,2,59.40000000000001
39,4,63.65
218,1,4.95
2,9,152.13
228,4,70.24
129,1,20.8
40,2,30.980000000000004
32,28,536.14
198,3,43.6
9,48,2607.4500000000007
37,29,532.16
101,8,125.04
43,90,2456.859999999999
51,1,24.96
44,2,26.8
53,4,87.9
187,3,47.7
334,5,82.5
5,4,58.79999999999999
177,2,34.85
24,3,46.05
15,1,17.700000000000006
145,12,221.07
32,5,135.07999999999998
141,2,40.65
23,25,148.43
23,25,520.24
78,1,49.95
5,55,1323.2099999999996
68,22,399.85
13,21,149.66
85,1,2.55
31,38,326.13999999999993
67,1,432.0
67,7,134.04000000000002
188,3,16.65
38,3,52.96
16,21,99.36
36,9,52.16
195,25,317.27
2,33,132.29000000000002
2,20,114.46
65,16,57.42
314,10,66.28
27,29,79.78999999999998
8,20,158.14999999999995
17,23,215.47
117,10,606.64
30,9,66.89
5,138,851.1400000000001
6,53,788.1899999999998
82,20,182.04
30,27,262.35
73,2,24.36
5,90,239.81999999999996
29,22,488.6
291,1,1.25
37,5,15.1
45,13,61.44
24,19,63.53
277,3,218.62
64,23,223.76
157,67,534.44
62,12,50.3
13,142,1355.94
22,14,149.26999999999995
87,30,410.3999999999999
4,16,255.66
27,12,47.59
6,172,876.2700000000003
54,13,28.309999999999995
2,9,99.45000000000002
55,9,122.45
26,16,51.95
9,52,426.3100000000002
53,55,481.4900000000002
13,39,349.93999999999994
212,8,204.18
22,53,852.7799999999999
236,1,15.0
139,5,138.6
41,9,99.43
57,10,244.22000000000003
137,10,194.81
110,3,26.23
17,14,658.4000000000002
185,6,118.21
18,1,13.5
240,4,79.2
88,2,25.8
39,19,81.22000000000001
117,4,65.3
188,2,32.550000000000004
227,6,76.59
198,6,329.64
190,5,80.7
5,7,76.94999999999997
40,10,119.42
39,5,29.78
268,1,175.2
78,11,98.54
4,18,559.6099999999999
256,14,129.25
61,5,86.5
13,29,235.37
89,98,1088.66
18,21,973.04
31,1,62.40000000000001
4,28,415.79999999999984
6,1,10.2
11,21,346.05
31,6,226.24
289,3,195.0
75,2,29.3
1,34,722.4499999999998
86,13,434.66
47,13,386.28
5,12,198.41
51,6,157.47
19,1,10.08
31,5,87.29999999999998
9,16,101.34
29,46,404.93
3,34,1113.8600000000004
41,4,176.1
12,37,151.99
32,1,6.959999999999999
158,1,31.25
61,1,90.0
79,38,239.02
64,1,2.9
12,4,66.6
87,7,238.68
17,7,170.07999999999996
246,5,73.92000000000002
88,13,222.09
31,5,15.15
138,4,56.7
27,14,166.26
3,24,264.61
33,20,548.4499999999998
26,2,381.6
114,4,60.29
158,4,154.38
86,12,199.8
118,8,188.35
3,55,891.8599999999997
97,53,528.96
195,9,57.40000000000001
29,14,62.49
131,2,90.9
29,14,197.35
82,12,202.49
30,80,467.48
267,1,17.700000000000006
74,22,724.9
314,10,70.75
22,13,237.98
183,14,151.75
13,56,891.4899999999997
29,31,546.13
115,15,73.41
29,32,574.4599999999998
18,29,244.16
18,18,176.43
37,5,123.0
37,5,104.24
23,1,20.4
26,17,57.27
34,14,260.25
110,10,258.66
36,21,397.24000000000007
124,47,437.38
8,23,839.3
29,22,394.95
89,15,510.15
3,38,673.0699999999998
51,21,251.47
323,1,47.7
23,8,94.55
16,9,204.58
19,12,183.16
30,8,332.44000000000005
160,14,104.18
34,79,1846.1600000000005
33,15,130.94
166,6,93.0
48,5,57.6
6,29,192.74
183,4,66.6
289,1,6.6000000000000005
318,2,22.56
4,11,181.86
234,6,115.05
162,2,69.6
186,6,35.13
51,8,36.15
153,46,199.22999999999996
335,4,28.55
6,29,584.63
16,6,631.95
107,3,56.6
17,4,77.46
276,3,53.5
16,105,2423.270000000001
248,5,37.0
240,2,54.75
2,11,177.98999999999995
106,10,165.75000000000003
23,14,394.77
52,2,24.9
195,3,220.1
25,2,25.9
76,5,63.72
18,9,182.21
177,2,39.90000000000001
33,9,189.59
22,20,274.73
32,45,630.2100000000003
29,21,360.19000000000005
79,1,34.0
33,31,545.92
285,1,17.700000000000006
204,3,31.65
58,12,193.41000000000003
290,1,25.5
79,3,91.56
6,25,1102.5000000000002
218,1,10.5
45,17,373.9
202,2,30.3
179,10,95.4
57,32,213.56999999999994
58,4,33.2
33,13,748.6099999999999
227,2,31.6
12,21,484.76
107,15,113.44000000000004
59,4,70.95000000000002
29,29,326.89
36,9,413.34
361,4,51.92
30,6,108.3
24,6,59.56
54,5,12.77
36,27,773.1899999999998
176,6,192.45
54,1,72.0
27,39,449.91
254,1,60.0
41,36,661.3100000000002
61,18,179.4
5,52,375.46999999999986
32,5,32.0
25,90,641.6399999999999
8,18,69.86000000000001
66,2,19.8
311,4,15.05
309,4,85.35
19,7,236.35
16,41,377.49000000000007
97,9,38.67999999999999
265,17,891.42
13,122,684.5799999999998
3,3,31.73
36,2,33.25
183,1,3.75
26,3,16.44
13,21,211.74
12,3,37.91
3,110,716.7099999999997
313,3,89.5
109,5,170.04
6,90,1746.3700000000006
54,7,117.75
205,1,15.3
16,15,59.22
121,16,51.60000000000001
4,10,62.89999999999999
363,6,52.95
187,16,41.75
19,6,64.35
5,19,38.5
41,20,62.40999999999998
108,3,24.4
149,8,50.12000000000001
228,2,251.1
209,3,10.5
139,15,73.23000000000002
4,18,62.79
128,4,14.78
47,23,471.48
36,2,9.45
228,10,113.37
242,3,52.98
58,3,92.28
131,17,592.3600000000001
61,56,335.3699999999999
22,9,44.95
27,26,189.29
13,20,178.44
32,20,150.38000000000005
4,19,113.7
31,32,431.85
29,13,109.96
18,12,18.83
102,9,130.78
12,14,123.28
22,7,26.5
15,19,289.2000000000001
362,12,49.72000000000001
11,10,1221.9
96,4,17.5
79,8,267.26
156,2,1.7999999999999998
32,9,932.34
25,18,390.05
2,97,1273.0799999999995
90,1,76.32000000000002
101,11,173.73999999999995
68,17,131.31
16,48,242.13999999999993
22,4,108.26
281,2,39.6
15,8,186.43
68,1,45.0
86,5,80.4
309,2,30.24
152,114,413.46
18,139,1158.1899999999996
95,4,141.96
30,70,2169.7700000000004
157,5,107.02
356,1,1.7399999999999998
47,6,22.1
16,21,167.74000000000004
4,99,589.8699999999999
15,40,193.95
180,1,12.75
9,19,289.9600000000001
37,6,66.95
155,2,435.0
51,4,434.56
312,1,4.25
25,8,51.11
304,14,82.89
12,5,46.3
18,27,104.87000000000002
187,3,50.5
240,9,102.35
1,68,746.58
13,97,1081.11
239,7,44.02
24,23,325.47
73,6,93.86
18,18,66.73
41,46,226.13000000000008
41,7,79.79
219,8,141.15000000000003
200,15,98.02
71,10,73.3
24,78,603.3499999999998
12,21,121.44
25,20,3065.4
5,16,82.94000000000003
20,6,53.03
15,6,70.34
8,9,1407.2800000000002
20,17,162.37
132,4,71.9
1,38,4096.219999999998
165,1,203.52
307,19,127.28
220,1,29.7
40,5,2242.6
23,14,150.82000000000005
115,10,164.96
127,36,290.58
5,8,525.34
37,5,26.38
2,12,153.19000000000003
334,17,435.7
164,2,32.65
249,5,260.55
17,8,130.74
76,3,48.5
24,15,266.62
