Unnamed: 0,country,food_category,consumption,co2_emission
722,Latvia,dairy,174.11,248.0
723,Latvia,wheat,72.13,13.76
724,Latvia,rice,2.21,2.83
725,Latvia,soybeans,0.04,0.02
726,Latvia,nuts,3.78,6.69
727,Bosnia and Herzegovina,pork,9.38,33.2
728,Bosnia and Herzegovina,poultry,13.17,14.15
729,Bosnia and Herzegovina,beef,9.12,281.42
730,Bosnia and Herzegovina,lamb_goat,0.47,16.46
731,Bosnia and Herzegovina,fish,4.06,6.48
732,Bosnia and Herzegovina,eggs,4.49,4.12
733,Bosnia and Herzegovina,dairy,174.03,247.89
734,Bosnia and Herzegovina,wheat,93.56,17.84
735,Bosnia and Herzegovina,rice,1.88,2.41
736,Bosnia and Herzegovina,soybeans,1.48,0.67
737,Bosnia and Herzegovina,nuts,2.0,3.54
738,Fiji,pork,4.31,15.26
739,Fiji,poultry,20.26,21.76
740,Fiji,beef,8.96,276.49
741,Fiji,lamb_goat,5.9,206.62
742,Fiji,fish,35.01,55.9
743,Fiji,eggs,6.44,5.92
744,Fiji,dairy,40.2,57.26
745,Fiji,wheat,84.22,16.06
746,Fiji,rice,45.62,58.38
747,Fiji,soybeans,0.3,0.14
748,Fiji,nuts,1.3,2.3
749,South Korea,pork,32.76,115.95
750,South Korea,poultry,16.0,17.19
751,South Korea,beef,14.53,448.37
752,South Korea,lamb_goat,0.14,4.9
753,South Korea,fish,33.09,52.83
754,South Korea,eggs,11.24,10.33
755,South Korea,dairy,29.05,41.38
756,South Korea,wheat,50.84,9.7
757,South Korea,rice,85.18,109.0
758,South Korea,soybeans,8.35,3.76
759,South Korea,nuts,4.88,8.64
760,Poland,pork,46.19,163.49
761,Poland,poultry,27.41,29.44
762,Poland,beef,2.32,71.59
763,Poland,lamb_goat,0.02,0.7
764,Poland,fish,10.49,16.75
765,Poland,eggs,7.53,6.92
766,Poland,dairy,205.39,292.56
767,Poland,wheat,108.83,20.75
768,Poland,rice,0.95,1.22
769,Poland,soybeans,0.06,0.03
770,Poland,nuts,2.23,3.95
771,Saudi Arabia,pork,0.0,0.0
772,Saudi Arabia,poultry,49.05,52.69
773,Saudi Arabia,beef,6.45,199.03
774,Saudi Arabia,lamb_goat,6.54,229.03
775,Saudi Arabia,fish,11.99,19.14
776,Saudi Arabia,eggs,5.37,4.93
777,Saudi Arabia,dairy,83.65,119.15
778,Saudi Arabia,wheat,89.47,17.06
779,Saudi Arabia,rice,36.02,46.09
780,Saudi Arabia,soybeans,0.05,0.02
781,Saudi Arabia,nuts,3.23,5.72
782,Botswana,pork,0.74,2.62
783,Botswana,poultry,5.33,5.73
784,Botswana,beef,7.85,242.23
785,Botswana,lamb_goat,3.76,131.67
786,Botswana,fish,3.98,6.35
787,Botswana,eggs,1.95,1.79
788,Botswana,dairy,117.74,167.71
789,Botswana,wheat,38.2,7.28
790,Botswana,rice,7.06,9.03
791,Botswana,soybeans,1.16,0.52
792,Botswana,nuts,1.08,1.91
793,Macedonia,pork,10.35,36.63
794,Macedonia,poultry,18.77,20.16
795,Macedonia,beef,7.69,237.3
796,Macedonia,lamb_goat,0.94,32.92
797,Macedonia,fish,5.47,8.73
798,Macedonia,eggs,6.38,5.86
799,Macedonia,dairy,157.93,224.96
800,Macedonia,wheat,104.8,19.99
801,Macedonia,rice,2.81,3.6
802,Macedonia,soybeans,0.46,0.21
803,Macedonia,nuts,5.87,10.39
804,Hungary,pork,34.93,123.63
805,Hungary,poultry,23.78,25.54
806,Hungary,beef,4.96,153.06
807,Hungary,lamb_goat,0.11,3.85
808,Hungary,fish,4.93,7.87
809,Hungary,eggs,12.45,11.44
810,Hungary,dairy,159.05,226.55
811,Hungary,wheat,109.98,20.97
812,Hungary,rice,2.15,2.75
813,Hungary,soybeans,0.01,0.0
814,Hungary,nuts,0.64,1.13
815,Trinidad and Tobago,pork,8.92,31.57
816,Trinidad and Tobago,poultry,58.27,62.59
817,Trinidad and Tobago,beef,6.13,189.16
818,Trinidad and Tobago,lamb_goat,2.79,97.71
819,Trinidad and Tobago,fish,20.54,32.8
820,Trinidad and Tobago,eggs,4.2,3.86
821,Trinidad and Tobago,dairy,103.8,147.85
822,Trinidad and Tobago,wheat,90.17,17.2
823,Trinidad and Tobago,rice,16.38,20.96
824,Trinidad and Tobago,soybeans,0.04,0.02
825,Trinidad and Tobago,nuts,3.78,6.69
826,Tunisia,pork,0.0,0.0
827,Tunisia,poultry,18.5,19.87
828,Tunisia,beef,5.53,170.64
829,Tunisia,lamb_goat,5.34,187.01
830,Tunisia,fish,12.63,20.17
831,Tunisia,eggs,7.67,7.05
832,Tunisia,dairy,114.47,163.05
833,Tunisia,wheat,197.5,37.66
834,Tunisia,rice,1.07,1.37
835,Tunisia,soybeans,1.88,0.85
836,Tunisia,nuts,6.34,11.22
837,Egypt,pork,0.02,0.07
838,Egypt,poultry,14.43,15.5
839,Egypt,beef,12.88,397.45
840,Egypt,lamb_goat,1.58,55.33
841,Egypt,fish,21.46,34.26
842,Egypt,eggs,4.59,4.22
843,Egypt,dairy,59.46,84.69
844,Egypt,wheat,146.83,28.0
845,Egypt,rice,39.77,50.89
846,Egypt,soybeans,0.64,0.29
847,Egypt,nuts,1.82,3.22
848,Mauritius,pork,4.08,14.44
849,Mauritius,poultry,38.51,41.37
850,Mauritius,beef,5.99,184.84
851,Mauritius,lamb_goat,4.08,142.88
852,Mauritius,fish,19.66,31.39
853,Mauritius,eggs,6.32,5.81
854,Mauritius,dairy,117.27,167.04
855,Mauritius,wheat,114.02,21.74
856,Mauritius,rice,45.56,58.3
857,Mauritius,soybeans,0.3,0.14
858,Mauritius,nuts,2.33,4.12
859,Bulgaria,pork,26.26,92.95
860,Bulgaria,poultry,20.68,22.21
861,Bulgaria,beef,3.84,118.49
862,Bulgaria,lamb_goat,1.63,57.08
863,Bulgaria,fish,6.24,9.96
864,Bulgaria,eggs,8.36,7.68
865,Bulgaria,dairy,155.71,221.79
866,Bulgaria,wheat,121.17,23.11
867,Bulgaria,rice,2.24,2.87
868,Bulgaria,soybeans,0.04,0.02
869,Bulgaria,nuts,2.26,4.0
870,Morocco,pork,0.01,0.04
871,Morocco,poultry,20.77,22.31
872,Morocco,beef,8.04,248.1
873,Morocco,lamb_goat,4.36,152.69
874,Morocco,fish,17.44,27.85
875,Morocco,eggs,6.68,6.14
876,Morocco,dairy,54.68,77.89
877,Morocco,wheat,179.7,34.27
878,Morocco,rice,1.1,1.41
879,Morocco,soybeans,0.0,0.0
880,Morocco,nuts,3.23,5.72
881,Slovakia,pork,31.78,112.49
882,Slovakia,poultry,15.13,16.25
883,Slovakia,beef,5.19,160.15
884,Slovakia,lamb_goat,0.16,5.6
885,Slovakia,fish,8.39,13.4
886,Slovakia,eggs,16.05,14.74
887,Slovakia,dairy,143.14,203.89
888,Slovakia,wheat,123.62,23.57
889,Slovakia,rice,2.88,3.69
890,Slovakia,soybeans,0.02,0.01
891,Slovakia,nuts,3.7,6.55
892,Niger,pork,0.09,0.32
893,Niger,poultry,1.08,1.16
894,Niger,beef,8.97,276.8
895,Niger,lamb_goat,4.17,146.03
896,Niger,fish,2.7,4.31
897,Niger,eggs,0.3,0.28
898,Niger,dairy,58.92,83.93
899,Niger,wheat,4.79,0.91
900,Niger,rice,13.17,16.85
901,Niger,soybeans,0.0,0.0
902,Niger,nuts,6.95,12.3
903,Kenya,pork,0.29,1.03
904,Kenya,poultry,0.47,0.5
905,Kenya,beef,9.54,294.38
906,Kenya,lamb_goat,1.86,65.14
907,Kenya,fish,4.27,6.82
908,Kenya,eggs,1.84,1.69
909,Kenya,dairy,94.86,135.12
910,Kenya,wheat,34.65,6.61
911,Kenya,rice,12.94,16.56
912,Kenya,soybeans,0.2,0.09
913,Kenya,nuts,1.64,2.9
914,Jordan,pork,0.02,0.07
915,Jordan,poultry,33.39,35.87
916,Jordan,beef,5.61,173.11
917,Jordan,lamb_goat,5.68,198.91
918,Jordan,fish,5.13,8.19
919,Jordan,eggs,3.92,3.6
920,Jordan,dairy,77.68,110.65
921,Jordan,wheat,136.74,26.08
922,Jordan,rice,19.67,25.17
923,Jordan,soybeans,0.02,0.01
924,Jordan,nuts,3.56,6.3
925,Japan,pork,20.62,72.98
926,Japan,poultry,19.42,20.86
927,Japan,beef,9.15,282.35
928,Japan,lamb_goat,0.14,4.9
929,Japan,fish,31.1,49.66
930,Japan,eggs,19.15,17.59
931,Japan,dairy,72.06,102.64
932,Japan,wheat,45.04,8.59
933,Japan,rice,59.85,76.59
934,Japan,soybeans,7.34,3.3
935,Japan,nuts,2.59,4.58
936,Georgia,pork,8.93,31.61
937,Georgia,poultry,12.28,13.19
938,Georgia,beef,6.04,186.38
939,Georgia,lamb_goat,0.63,22.06
940,Georgia,fish,10.42,16.64
941,Georgia,eggs,6.12,5.62
942,Georgia,dairy,149.26,212.61
943,Georgia,wheat,163.43,31.17
944,Georgia,rice,2.64,3.38
945,Georgia,soybeans,0.0,0.0
946,Georgia,nuts,2.47,4.37
947,Grenada,pork,11.52,40.78
948,Grenada,poultry,43.51,46.74
949,Grenada,beef,3.46,106.77
950,Grenada,lamb_goat,1.25,43.77
951,Grenada,fish,27.95,44.63
952,Grenada,eggs,10.34,9.5
953,Grenada,dairy,86.88,123.75
954,Grenada,wheat,59.59,11.36
955,Grenada,rice,9.56,12.23
956,Grenada,soybeans,0.01,0.0
957,Grenada,nuts,0.18,0.32
958,El Salvador,pork,3.23,11.43
959,El Salvador,poultry,19.84,21.31
960,El Salvador,beef,5.95,183.6
961,El Salvador,lamb_goat,0.02,0.7
962,El Salvador,fish,6.25,9.98
963,El Salvador,eggs,9.51,8.74
964,El Salvador,dairy,124.34,177.11
965,El Salvador,wheat,28.19,5.38
966,El Salvador,rice,10.53,13.48
967,El Salvador,soybeans,0.8,0.36
968,El Salvador,nuts,1.1,1.95
969,Cuba,pork,19.82,70.15
970,Cuba,poultry,20.15,21.65
971,Cuba,beef,6.39,197.18
972,Cuba,lamb_goat,1.24,43.42
973,Cuba,fish,4.76,7.6
974,Cuba,eggs,9.82,9.02
975,Cuba,dairy,99.94,142.35
976,Cuba,wheat,54.62,10.42
977,Cuba,rice,67.7,86.64
978,Cuba,soybeans,6.34,2.85
979,Cuba,nuts,0.23,0.41
980,China,pork,38.43,136.02
981,China,poultry,13.2,14.18
982,China,beef,5.12,157.99
983,China,lamb_goat,3.13,109.61
984,China,fish,21.01,33.55
985,China,eggs,18.76,17.23
986,China,dairy,32.66,46.52
987,China,wheat,63.36,12.08
988,China,rice,78.18,100.05
989,China,soybeans,3.66,1.65
990,China,nuts,6.39,11.31
991,Honduras,pork,6.48,22.94
992,Honduras,poultry,20.29,21.8
993,Honduras,beef,7.19,221.87
994,Honduras,lamb_goat,0.04,1.4
995,Honduras,fish,2.7,4.31
996,Honduras,eggs,5.19,4.77
997,Honduras,dairy,91.33,130.09
998,Honduras,wheat,37.36,7.12
999,Honduras,rice,14.42,18.45
1000,Honduras,soybeans,0.01,0.0
1001,Honduras,nuts,0.75,1.33
1002,Taiwan. ROC,pork,39.37,139.35
1003,Taiwan. ROC,poultry,32.13,34.51
1004,Taiwan. ROC,beef,5.21,160.77
1005,Taiwan. ROC,lamb_goat,0.92,32.22
1006,Taiwan. ROC,fish,18.29,29.2
1007,Taiwan. ROC,eggs,13.08,12.02
1008,Taiwan. ROC,dairy,41.72,59.43
1009,Taiwan. ROC,wheat,50.92,9.71
1010,Taiwan. ROC,rice,45.85,58.67
1011,Taiwan. ROC,soybeans,16.95,7.63
1012,Taiwan. ROC,nuts,9.06,16.04
1013,Angola,pork,8.89,31.47
1014,Angola,poultry,17.33,18.62
1015,Angola,beef,8.42,259.82
1016,Angola,lamb_goat,1.08,37.82
1017,Angola,fish,15.24,24.33
1018,Angola,eggs,1.11,1.02
1019,Angola,dairy,12.3,17.52
1020,Angola,wheat,40.72,7.77
1021,Angola,rice,8.12,10.39
1022,Angola,soybeans,0.52,0.23
1023,Angola,nuts,2.26,4.0
1024,Jamaica,pork,3.99,14.12
1025,Jamaica,poultry,52.51,56.41
1026,Jamaica,beef,3.97,122.51
1027,Jamaica,lamb_goat,1.26,44.13
1028,Jamaica,fish,21.95,35.05
1029,Jamaica,eggs,2.27,2.09
1030,Jamaica,dairy,91.13,129.81
1031,Jamaica,wheat,70.67,13.48
1032,Jamaica,rice,23.45,30.01
1033,Jamaica,soybeans,0.0,0.0
1034,Jamaica,nuts,1.82,3.22
1035,Namibia,pork,4.21,14.9
1036,Namibia,poultry,12.19,13.09
1037,Namibia,beef,3.75,115.72
1038,Namibia,lamb_goat,2.27,79.5
1039,Namibia,fish,10.7,17.08
1040,Namibia,eggs,1.63,1.5
1041,Namibia,dairy,73.05,104.05
1042,Namibia,wheat,36.26,6.91
1043,Namibia,rice,6.31,8.07
1044,Namibia,soybeans,0.07,0.03
1045,Namibia,nuts,0.71,1.26
1046,Belize,pork,16.8,59.46
1047,Belize,poultry,28.31,30.41
1048,Belize,beef,4.86,149.97
1049,Belize,lamb_goat,0.14,4.9
1050,Belize,fish,7.57,12.09
1051,Belize,eggs,4.85,4.46
1052,Belize,dairy,80.3,114.38
1053,Belize,wheat,54.06,10.31
1054,Belize,rice,28.42,36.37
1055,Belize,soybeans,1.88,0.85
1056,Belize,nuts,5.58,9.88
1057,Malaysia,pork,7.76,27.47
1058,Malaysia,poultry,41.01,44.05
1059,Malaysia,beef,6.52,201.19
1060,Malaysia,lamb_goat,0.94,32.92
1061,Malaysia,fish,49.43,78.92
1062,Malaysia,eggs,16.57,15.22
1063,Malaysia,dairy,25.28,36.01
1064,Malaysia,wheat,51.04,9.73
1065,Malaysia,rice,81.25,103.98
1066,Malaysia,soybeans,0.04,0.02
1067,Malaysia,nuts,2.9,5.13
1068,Zimbabwe,pork,2.65,9.38
1069,Zimbabwe,poultry,4.97,5.34
1070,Zimbabwe,beef,7.37,227.42
1071,Zimbabwe,lamb_goat,0.96,33.62
1072,Zimbabwe,fish,2.8,4.47
1073,Zimbabwe,eggs,1.75,1.61
1074,Zimbabwe,dairy,31.9,45.44
1075,Zimbabwe,wheat,31.31,5.97
1076,Zimbabwe,rice,10.09,12.91
1077,Zimbabwe,soybeans,0.54,0.24
1078,Zimbabwe,nuts,2.22,3.93
1079,Guatemala,pork,4.85,17.17
1080,Guatemala,poultry,16.45,17.67
1081,Guatemala,beef,5.6,172.8
1082,Guatemala,lamb_goat,0.23,8.05
1083,Guatemala,fish,1.08,1.72
1084,Guatemala,eggs,14.61,13.42
1085,Guatemala,dairy,46.6,66.38
1086,Guatemala,wheat,35.9,6.85
1087,Guatemala,rice,5.66,7.24
1088,Guatemala,soybeans,0.32,0.14
1089,Guatemala,nuts,2.0,3.54
1090,Uganda,pork,3.37,11.93
1091,Uganda,poultry,1.51,1.62
1092,Uganda,beef,5.15,158.92
1093,Uganda,lamb_goat,1.25,43.77
1094,Uganda,fish,12.5,19.96
1095,Uganda,eggs,0.97,0.89
1096,Uganda,dairy,37.27,53.09
1097,Uganda,wheat,10.14,1.93
1098,Uganda,rice,4.64,5.94
1099,Uganda,soybeans,0.01,0.0
1100,Uganda,nuts,3.77,6.67
1101,Nepal,pork,0.67,2.37
1102,Nepal,poultry,1.56,1.68
1103,Nepal,beef,7.89,243.47
1104,Nepal,lamb_goat,2.1,73.54
1105,Nepal,fish,2.17,3.46
1106,Nepal,eggs,1.42,1.3
1107,Nepal,dairy,52.1,74.21
1108,Nepal,wheat,50.46,9.62
1109,Nepal,rice,87.75,112.29
1110,Nepal,soybeans,0.01,0.0
1111,Nepal,nuts,2.42,4.28
1112,Iran,pork,0.0,0.0
1113,Iran,poultry,25.38,27.26
1114,Iran,beef,3.58,110.47
1115,Iran,lamb_goat,3.69,129.22
1116,Iran,fish,9.8,15.65
1117,Iran,eggs,7.7,7.07
1118,Iran,dairy,46.69,66.51
1119,Iran,wheat,153.31,29.24
1120,Iran,rice,29.95,38.33
1121,Iran,soybeans,0.0,0.0
1122,Iran,nuts,12.16,21.52
1123,Tanzania,pork,0.32,1.13
1124,Tanzania,poultry,1.84,1.98
1125,Tanzania,beef,6.09,187.92
1126,Tanzania,lamb_goat,1.28,44.83
1127,Tanzania,fish,5.5,8.78
1128,Tanzania,eggs,0.58,0.53
1129,Tanzania,dairy,40.29,57.39
1130,Tanzania,wheat,15.94,3.04
1131,Tanzania,rice,21.01,26.89
1132,Tanzania,soybeans,0.04,0.02
1133,Tanzania,nuts,5.94,10.51
1134,Senegal,pork,0.94,3.33
1135,Senegal,poultry,4.62,4.96
1136,Senegal,beef,5.85,180.52
1137,Senegal,lamb_goat,3.19,111.71
1138,Senegal,fish,22.94,36.63
1139,Senegal,eggs,1.63,1.5
1140,Senegal,dairy,16.86,24.02
1141,Senegal,wheat,37.32,7.12
1142,Senegal,rice,72.29,92.51
1143,Senegal,soybeans,0.0,0.0
1144,Senegal,nuts,4.03,7.13
1145,Peru,pork,3.85,13.63
1146,Peru,poultry,11.72,12.59
1147,Peru,beef,4.69,144.72
1148,Peru,lamb_goat,1.0,35.02
1149,Peru,fish,15.74,25.13
1150,Peru,eggs,8.76,8.05
1151,Peru,dairy,62.15,88.53
1152,Peru,wheat,56.12,10.7
1153,Peru,rice,48.92,62.6
1154,Peru,soybeans,1.59,0.72
1155,Peru,nuts,0.65,1.15
1156,Nicaragua,pork,3.38,11.96
1157,Nicaragua,poultry,21.31,22.89
1158,Nicaragua,beef,4.73,145.96
1159,Nicaragua,lamb_goat,0.01,0.35
1160,Nicaragua,fish,3.59,5.73
1161,Nicaragua,eggs,4.9,4.5
1162,Nicaragua,dairy,85.16,121.3
1163,Nicaragua,wheat,28.17,5.37
1164,Nicaragua,rice,43.33,55.45
1165,Nicaragua,soybeans,0.01,0.0
1166,Nicaragua,nuts,2.36,4.18
1167,Vietnam,pork,35.0,123.88
1168,Vietnam,poultry,12.36,13.28
1169,Vietnam,beef,7.44,229.58
1170,Vietnam,lamb_goat,0.14,4.9
1171,Vietnam,fish,26.52,42.34
1172,Vietnam,eggs,3.84,3.53
1173,Vietnam,dairy,16.36,23.3
1174,Vietnam,wheat,10.49,2.0
1175,Vietnam,rice,144.56,184.99
1176,Vietnam,soybeans,5.75,2.59
1177,Vietnam,nuts,6.28,11.12
1178,Ethiopia,pork,0.02,0.07
1179,Ethiopia,poultry,0.66,0.71
1180,Ethiopia,beef,3.61,111.4
1181,Ethiopia,lamb_goat,1.57,54.98
1182,Ethiopia,fish,0.24,0.38
1183,Ethiopia,eggs,0.36,0.33
1184,Ethiopia,dairy,44.14,62.87
1185,Ethiopia,wheat,31.26,5.96
1186,Ethiopia,rice,2.25,2.88
1187,Ethiopia,soybeans,0.45,0.2
1188,Ethiopia,nuts,1.21,2.14
1189,Myanmar,pork,11.31,40.03
1190,Myanmar,poultry,21.87,23.49
1191,Myanmar,beef,4.94,152.44
1192,Myanmar,lamb_goat,0.89,31.17
1193,Myanmar,fish,54.26,86.64
1194,Myanmar,eggs,6.45,5.92
1195,Myanmar,dairy,31.48,44.84
1196,Myanmar,wheat,6.22,1.19
1197,Myanmar,rice,132.8,169.94
1198,Myanmar,soybeans,0.38,0.17
1199,Myanmar,nuts,4.5,7.97
1200,Congo,pork,2.39,8.46
1201,Congo,poultry,13.02,13.99
1202,Congo,beef,4.35,134.23
1203,Congo,lamb_goat,0.4,14.01
1204,Congo,fish,26.22,41.86
1205,Congo,eggs,0.6,0.55
1206,Congo,dairy,10.69,15.23
1207,Congo,wheat,40.07,7.64
1208,Congo,rice,16.51,21.13
1209,Congo,soybeans,0.0,0.0
1210,Congo,nuts,3.08,5.45
1211,Zambia,pork,1.66,5.88
1212,Zambia,poultry,3.29,3.53
1213,Zambia,beef,4.76,146.88
1214,Zambia,lamb_goat,0.68,23.81
1215,Zambia,fish,6.2,9.9
1216,Zambia,eggs,3.32,3.05
1217,Zambia,dairy,9.71,13.83
1218,Zambia,wheat,12.1,2.31
1219,Zambia,rice,3.05,3.9
1220,Zambia,soybeans,7.3,3.29
1221,Zambia,nuts,5.04,8.92
1222,Cameroon,pork,1.47,5.2
1223,Cameroon,poultry,3.29,3.53
1224,Cameroon,beef,4.17,128.68
1225,Cameroon,lamb_goat,1.4,49.03
1226,Cameroon,fish,14.71,23.49
1227,Cameroon,eggs,0.4,0.37
1228,Cameroon,dairy,15.27,21.75
1229,Cameroon,wheat,22.6,4.31
1230,Cameroon,rice,23.85,30.52
1231,Cameroon,soybeans,0.64,0.29
1232,Cameroon,nuts,9.29,16.44
1233,Madagascar,pork,2.56,9.06
1234,Madagascar,poultry,3.14,3.37
1235,Madagascar,beef,7.51,231.74
1236,Madagascar,lamb_goat,0.57,19.96
1237,Madagascar,fish,4.41,7.04
1238,Madagascar,eggs,0.71,0.65
1239,Madagascar,dairy,24.84,35.38
1240,Madagascar,wheat,9.01,1.72
1241,Madagascar,rice,102.53,131.21
1242,Madagascar,soybeans,0.0,0.0
1243,Madagascar,nuts,0.35,0.62
1244,Malawi,pork,5.45,19.29
1245,Malawi,poultry,1.38,1.48
1246,Malawi,beef,2.35,72.52
1247,Malawi,lamb_goat,2.07,72.49
1248,Malawi,fish,7.33,11.7
1249,Malawi,eggs,1.08,0.99
1250,Malawi,dairy,7.98,11.37
1251,Malawi,wheat,11.77,2.24
1252,Malawi,rice,4.75,6.08
1253,Malawi,soybeans,1.76,0.79
1254,Malawi,nuts,5.08,8.99
1255,Guinea,pork,0.16,0.57
1256,Guinea,poultry,1.83,1.97
1257,Guinea,beef,6.26,193.17
1258,Guinea,lamb_goat,1.6,56.03
1259,Guinea,fish,9.18,14.66
1260,Guinea,eggs,1.95,1.79
1261,Guinea,dairy,20.62,29.37
1262,Guinea,wheat,18.55,3.54
1263,Guinea,rice,97.12,124.28
1264,Guinea,soybeans,0.0,0.0
1265,Guinea,nuts,4.14,7.33
1266,Nigeria,pork,1.47,5.2
1267,Nigeria,poultry,1.73,1.86
1268,Nigeria,beef,2.33,71.9
1269,Nigeria,lamb_goat,2.72,95.25
1270,Nigeria,fish,16.03,25.59
1271,Nigeria,eggs,3.46,3.18
1272,Nigeria,dairy,7.91,11.27
1273,Nigeria,wheat,20.82,3.97
1274,Nigeria,rice,28.23,36.13
1275,Nigeria,soybeans,2.6,1.17
1276,Nigeria,nuts,6.93,12.27
1277,Rwanda,pork,0.76,2.69
1278,Rwanda,poultry,1.34,1.44
1279,Rwanda,beef,2.53,78.07
1280,Rwanda,lamb_goat,1.93,67.59
1281,Rwanda,fish,3.88,6.2
1282,Rwanda,eggs,0.16,0.15
1283,Rwanda,dairy,7.23,10.3
1284,Rwanda,wheat,11.34,2.16
1285,Rwanda,rice,8.7,11.13
1286,Rwanda,soybeans,1.93,0.87
1287,Rwanda,nuts,0.58,1.03
1288,Philippines,pork,18.4,65.13
1289,Philippines,poultry,11.91,12.79
1290,Philippines,beef,4.06,125.28
1291,Philippines,lamb_goat,0.56,19.61
1292,Philippines,fish,28.51,45.52
1293,Philippines,eggs,4.02,3.69
1294,Philippines,dairy,15.66,22.31
1295,Philippines,wheat,23.12,4.41
1296,Philippines,rice,119.44,152.85
1297,Philippines,soybeans,0.03,0.01
1298,Philippines,nuts,2.08,3.68
1299,Ghana,pork,1.36,4.81
1300,Ghana,poultry,8.63,9.27
1301,Ghana,beef,1.09,33.64
1302,Ghana,lamb_goat,1.74,60.93
1303,Ghana,fish,26.05,41.59
1304,Ghana,eggs,1.21,1.11
1305,Ghana,dairy,9.08,12.93
1306,Ghana,wheat,14.45,2.76
1307,Ghana,rice,32.03,40.99
1308,Ghana,soybeans,0.01,0.0
1309,Ghana,nuts,5.56,9.84
1310,Togo,pork,1.57,5.56
1311,Togo,poultry,6.63,7.12
1312,Togo,beef,1.53,47.21
1313,Togo,lamb_goat,1.58,55.33
1314,Togo,fish,11.69,18.67
1315,Togo,eggs,0.86,0.79
1316,Togo,dairy,7.96,11.34
1317,Togo,wheat,12.91,2.46
1318,Togo,rice,25.99,33.26
1319,Togo,soybeans,0.01,0.0
1320,Togo,nuts,3.59,6.35
1321,Gambia,pork,0.18,0.64
1322,Gambia,poultry,2.66,2.86
1323,Gambia,beef,2.16,66.65
1324,Gambia,lamb_goat,0.71,24.86
1325,Gambia,fish,23.13,36.93
1326,Gambia,eggs,0.99,0.91
1327,Gambia,dairy,45.71,65.11
1328,Gambia,wheat,37.91,7.23
1329,Gambia,rice,61.84,79.14
1330,Gambia,soybeans,0.0,0.0
1331,Gambia,nuts,5.27,9.33
1332,India,pork,0.28,0.99
1333,India,poultry,1.88,2.02
1334,India,beef,0.81,24.99
1335,India,lamb_goat,0.58,20.31
1336,India,fish,4.71,7.52
1337,India,eggs,2.58,2.37
1338,India,dairy,84.5,120.36
1339,India,wheat,60.56,11.55
1340,India,rice,69.49,88.93
1341,India,soybeans,0.39,0.18
1342,India,nuts,1.92,3.4
1343,Thailand,pork,13.0,46.01
1344,Thailand,poultry,13.69,14.71
1345,Thailand,beef,2.56,79.0
1346,Thailand,lamb_goat,0.05,1.75
1347,Thailand,fish,19.45,31.06
1348,Thailand,eggs,12.35,11.34
1349,Thailand,dairy,29.35,41.81
1350,Thailand,wheat,10.93,2.08
1351,Thailand,rice,114.57,146.62
1352,Thailand,soybeans,2.13,0.96
1353,Thailand,nuts,1.5,2.66
1354,Mozambique,pork,5.13,18.16
1355,Mozambique,poultry,1.41,1.51
1356,Mozambique,beef,1.04,32.09
1357,Mozambique,lamb_goat,0.9,31.52
1358,Mozambique,fish,7.74,12.36
1359,Mozambique,eggs,1.7,1.56
1360,Mozambique,dairy,4.79,6.82
1361,Mozambique,wheat,14.65,2.79
1362,Mozambique,rice,23.41,29.96
1363,Mozambique,soybeans,0.03,0.01
1364,Mozambique,nuts,2.61,4.62
1365,Cambodia,pork,6.52,23.08
1366,Cambodia,poultry,1.84,1.98
1367,Cambodia,beef,4.85,149.66
1368,Cambodia,lamb_goat,0.0,0.0
1369,Cambodia,fish,39.59,63.21
1370,Cambodia,eggs,1.37,1.26
1371,Cambodia,dairy,3.47,4.94
1372,Cambodia,wheat,2.74,0.52
1373,Cambodia,rice,159.1,203.6
1374,Cambodia,soybeans,4.33,1.95
1375,Cambodia,nuts,1.25,2.21
1376,Sierra Leone,pork,1.22,4.32
1377,Sierra Leone,poultry,4.97,5.34
1378,Sierra Leone,beef,1.99,61.41
1379,Sierra Leone,lamb_goat,0.65,22.76
1380,Sierra Leone,fish,32.03,51.14
1381,Sierra Leone,eggs,1.92,1.76
1382,Sierra Leone,dairy,7.0,9.97
1383,Sierra Leone,wheat,8.72,1.66
1384,Sierra Leone,rice,103.3,132.19
1385,Sierra Leone,soybeans,0.0,0.0
1386,Sierra Leone,nuts,5.57,9.86
1387,Sri Lanka,pork,0.05,0.18
1388,Sri Lanka,poultry,4.96,5.33
1389,Sri Lanka,beef,1.38,42.58
1390,Sri Lanka,lamb_goat,0.09,3.15
1391,Sri Lanka,fish,24.92,39.79
1392,Sri Lanka,eggs,4.57,4.2
1393,Sri Lanka,dairy,34.98,49.83
1394,Sri Lanka,wheat,37.01,7.06
1395,Sri Lanka,rice,109.72,140.41
1396,Sri Lanka,soybeans,0.0,0.0
1397,Sri Lanka,nuts,1.09,1.93
1398,Indonesia,pork,2.98,10.55
1399,Indonesia,poultry,7.5,8.06
1400,Indonesia,beef,2.59,79.92
1401,Indonesia,lamb_goat,0.46,16.11
1402,Indonesia,fish,25.65,40.95
1403,Indonesia,eggs,4.88,4.48
1404,Indonesia,dairy,14.82,21.11
1405,Indonesia,wheat,25.45,4.85
1406,Indonesia,rice,134.62,172.27
1407,Indonesia,soybeans,1.12,0.5
1408,Indonesia,nuts,4.92,8.71
1409,Liberia,pork,4.01,14.19
1410,Liberia,poultry,8.91,9.57
1411,Liberia,beef,0.78,24.07
