,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,Remodeled,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,MSZoning,PavedDrive,Neighborhood,BldgType,HouseStyle,SalePrice
226,60,82.0,9950,7,5,1995,0,2520,0,0,2,1,4,1,721,RL,Y,NoRidge,1Fam,2Story,290000
227,160,21.0,1869,6,6,1970,0,987,0,0,1,1,2,0,280,RM,Y,BrDale,Twnhs,2Story,106000
228,20,70.0,8521,5,5,1967,0,912,0,0,1,0,3,1,336,RL,Y,Sawyer,1Fam,1Story,125000
229,120,43.0,3182,7,5,2005,1,1555,0,0,2,0,2,1,430,RL,Y,Blmngtn,TwnhsE,1Story,192500
230,20,73.0,8760,6,6,1959,0,1194,1,0,1,0,3,0,312,RL,Y,NAmes,1Fam,1Story,148000
231,60,174.0,15138,8,5,1995,1,2794,1,0,2,1,4,1,810,RL,Y,NoRidge,1Fam,2Story,403000
232,160,21.0,1680,6,5,1972,0,987,0,0,1,1,2,1,288,RM,Y,BrDale,Twnhs,2Story,94500
233,20,75.0,10650,5,6,1976,0,894,1,0,1,0,3,0,308,RL,Y,CollgCr,1Fam,1Story,128200
234,60,,7851,6,5,2002,0,1960,1,0,2,1,4,2,440,RL,Y,Gilbert,1Fam,2Story,216500
235,160,21.0,1680,6,3,1971,0,987,0,0,1,1,2,0,264,RM,Y,BrDale,TwnhsE,2Story,89500
236,20,65.0,8773,7,5,2004,0,1414,0,0,2,0,3,0,494,RL,Y,CollgCr,1Fam,1Story,185500
237,60,,9453,7,7,1993,1,1744,0,0,2,1,3,0,457,RL,Y,SawyerW,1Fam,2Story,194500
238,20,93.0,12030,8,5,2007,0,1694,0,0,2,0,3,0,818,RL,Y,NridgHt,1Fam,1Story,318000
239,50,52.0,8741,6,4,1945,1,1487,0,0,1,1,3,1,220,RL,Y,Edwards,1Fam,1.5Fin,113000
240,20,75.0,9000,8,5,2008,0,1566,1,0,2,0,3,0,750,FV,Y,Somerst,1Fam,1Story,262500
241,30,40.0,3880,5,9,1945,1,866,0,0,1,0,2,0,0,RM,Y,OldTown,1Fam,1Story,110500
242,50,63.0,5000,5,4,1900,1,1440,0,0,1,0,3,0,352,RM,Y,OldTown,1Fam,1.5Fin,79000
243,160,75.0,10762,6,6,1980,0,1217,0,0,1,1,3,1,288,RL,Y,SawyerW,TwnhsE,2Story,120000
244,60,,8880,7,5,1994,1,2110,1,0,2,1,3,2,463,RL,Y,SawyerW,1Fam,2Story,205000
245,20,80.0,10400,7,5,1988,0,1872,0,1,2,0,3,1,604,RL,Y,NWAmes,1Fam,1Story,241500
246,190,69.0,9142,6,8,1910,1,1928,0,0,2,0,4,0,440,RM,Y,OldTown,2fmCon,2Story,137000
247,20,75.0,11310,6,5,1954,0,1375,0,0,1,0,2,1,451,RL,Y,NAmes,1Fam,1Story,140000
248,60,72.0,11317,7,5,2003,0,1668,0,0,2,1,3,0,500,RL,Y,CollgCr,1Fam,2Story,180000
249,50,,159000,6,7,1958,1,2144,0,1,2,0,4,2,389,RL,Y,ClearCr,1Fam,1.5Fin,277000
250,30,55.0,5350,3,2,1940,1,1306,0,0,1,0,3,0,0,RL,Y,BrkSide,1Fam,1Story,76500
251,120,44.0,4750,8,5,2006,1,1625,1,1,2,0,2,1,538,RM,Y,Crawfor,TwnhsE,1Story,235000
252,60,65.0,8366,6,5,2004,0,1640,0,0,2,1,3,0,520,RL,Y,SawyerW,1Fam,2Story,173000
253,80,85.0,9350,6,7,1964,1,1302,0,1,2,0,3,0,309,RL,Y,NAmes,1Fam,SLvl,158000
254,20,70.0,8400,5,6,1957,0,1314,1,0,1,0,3,0,294,RL,Y,NAmes,1Fam,1Story,145000
255,60,66.0,8738,7,5,1999,0,2291,0,0,2,1,4,1,429,RL,Y,Gilbert,1Fam,2Story,230000
256,60,64.0,8791,6,5,2003,0,1728,0,0,2,1,3,0,673,FV,Y,Somerst,1Fam,2Story,207500
257,20,68.0,8814,7,5,2006,0,1604,1,0,2,1,3,1,660,RL,Y,CollgCr,1Fam,1Story,220000
258,60,80.0,12435,7,5,2001,0,1792,0,0,2,1,3,1,564,RL,Y,CollgCr,1Fam,2Story,231500
259,20,70.0,12702,5,5,1956,0,882,0,0,1,0,2,0,308,RM,Y,OldTown,1Fam,1Story,97000
260,80,120.0,19296,6,5,1962,0,1382,1,0,1,0,3,1,884,RL,Y,NAmes,1Fam,SLvl,176000
261,60,69.0,9588,8,5,2007,0,2574,0,0,2,1,3,1,868,RL,Y,CollgCr,1Fam,2Story,276000
262,80,88.0,8471,6,7,1977,1,1212,1,0,1,0,3,1,492,RL,Y,Sawyer,1Fam,SLvl,151000
263,50,50.0,5500,5,7,1929,1,1316,1,0,1,0,3,0,484,RM,Y,OldTown,1Fam,1.5Fin,130000
264,30,30.0,5232,5,5,1925,1,764,0,0,1,0,2,0,504,RM,N,OldTown,1Fam,1Story,73000
265,20,78.0,12090,6,6,1981,0,1422,0,0,2,0,3,1,576,RL,Y,NWAmes,1Fam,1Story,175500
266,60,70.0,11207,6,5,1997,0,1511,1,0,2,1,3,1,413,RL,Y,Gilbert,1Fam,2Story,185000
267,75,60.0,8400,5,8,1939,1,2192,0,0,2,1,4,1,240,RL,Y,SWISU,1Fam,2.5Fin,179500
268,30,71.0,6900,5,6,1940,1,778,0,0,1,0,2,1,924,RM,Y,IDOTRR,1Fam,1Story,120500
269,20,,7917,6,7,1976,0,1113,1,0,1,1,3,1,504,RL,Y,Edwards,1Fam,1Story,148000
270,60,84.0,10728,8,5,2006,0,1939,0,0,2,1,3,1,1053,FV,Y,Somerst,1Fam,2Story,266000
271,20,73.0,39104,7,7,1954,1,1363,1,0,1,0,2,2,439,RL,Y,ClearCr,1Fam,1Story,241500
272,60,92.0,11764,8,7,1999,1,2270,0,0,2,1,4,1,671,RL,Y,NoRidge,1Fam,2Story,290000
273,20,80.0,9600,6,6,1958,1,1632,1,0,2,0,3,1,338,RL,Y,NAmes,1Fam,1Story,139000
274,20,76.0,8314,5,7,1982,0,816,0,0,1,0,2,0,264,RL,Y,Mitchel,1Fam,1Story,124500
275,50,55.0,7264,7,7,1925,1,1548,0,0,2,1,3,0,672,RL,Y,BrkSide,1Fam,1.5Fin,205000
276,20,129.0,9196,7,5,2003,0,1560,0,0,2,0,3,0,573,RL,Y,Mitchel,1Fam,1Story,201000
277,20,140.0,19138,4,5,1951,0,864,0,0,1,0,2,0,400,RL,Y,Gilbert,1Fam,1Story,141000
278,20,107.0,14450,9,5,2006,1,2121,0,0,2,1,3,1,732,RL,Y,NridgHt,1Fam,1Story,415298
279,60,83.0,10005,7,5,1977,0,2022,0,0,2,1,4,1,505,RL,Y,ClearCr,1Fam,2Story,192000
280,60,82.0,11287,7,6,1989,0,1982,0,0,2,1,3,1,575,RL,Y,SawyerW,1Fam,2Story,228500
281,20,60.0,7200,6,5,2006,0,1262,0,0,2,0,2,0,572,FV,Y,Somerst,1Fam,1Story,185000
282,120,34.0,5063,7,5,2007,1,1314,1,0,2,0,2,1,626,RL,Y,NridgHt,Twnhs,1Story,207500
283,20,74.0,9612,8,5,2008,1,1468,0,0,2,0,3,1,898,RL,Y,Somerst,1Fam,1Story,244600
284,120,50.0,8012,6,5,1992,0,1575,1,0,2,0,2,0,529,RL,Y,SawyerW,TwnhsE,1Story,179200
285,160,35.0,4251,7,5,2006,1,1250,0,0,2,1,2,0,528,FV,Y,Somerst,TwnhsE,2Story,164700
286,50,77.0,9786,6,7,1962,1,1734,0,0,1,1,3,1,440,RL,Y,NAmes,1Fam,1.5Fin,159000
287,20,,8125,4,4,1971,0,858,0,0,1,0,3,0,0,RL,Y,NAmes,1Fam,1Story,88000
288,20,,9819,5,5,1967,0,900,0,0,1,0,3,0,280,RL,Y,Sawyer,1Fam,1Story,122000
289,70,60.0,8730,6,7,1915,1,1396,0,0,1,0,3,0,384,RL,Y,BrkSide,1Fam,2Story,153575
290,60,120.0,15611,8,5,2006,0,1919,0,0,2,1,3,1,685,RL,Y,CollgCr,1Fam,2Story,233230
291,190,55.0,5687,5,6,1912,1,1716,1,0,2,0,6,0,0,RL,N,SWISU,2fmCon,2Story,135900
292,50,60.0,11409,5,4,1949,1,1716,0,0,1,1,3,1,281,RL,Y,Edwards,1Fam,1.5Fin,131000
293,60,,16659,7,7,1977,1,2263,1,0,2,1,3,1,539,RL,Y,NWAmes,1Fam,2Story,235000
294,20,80.0,9600,6,5,1953,0,1644,1,0,1,0,3,2,418,RL,Y,NAmes,1Fam,1Story,167000
295,80,37.0,7937,6,6,1984,0,1003,1,0,1,0,3,0,588,RL,Y,Mitchel,1Fam,SLvl,142500
296,50,75.0,13710,5,5,1950,0,1558,0,0,1,1,4,0,282,RM,Y,IDOTRR,1Fam,1.5Fin,152000
297,60,66.0,7399,7,5,1997,1,1950,0,0,2,1,3,1,576,FV,Y,Somerst,1Fam,2Story,239000
298,60,90.0,11700,6,6,1968,0,1743,0,1,1,2,3,1,539,RL,Y,NWAmes,1Fam,2Story,175000
299,20,80.0,14000,6,8,1950,1,1152,0,1,1,0,3,1,300,RL,Y,Crawfor,1Fam,1Story,158500
300,190,90.0,15750,5,5,1953,0,1336,1,0,1,0,2,2,375,RL,Y,Crawfor,2fmCon,1Story,157000
301,60,66.0,16226,8,5,1998,1,2452,0,0,2,1,4,1,683,RL,Y,CollgCr,1Fam,2Story,267000
302,20,118.0,13704,7,5,2001,1,1541,0,0,2,0,3,1,843,RL,Y,CollgCr,1Fam,1Story,205000
303,20,70.0,9800,5,7,1972,0,894,1,0,1,0,3,0,552,RL,Y,CollgCr,1Fam,1Story,149900
304,75,87.0,18386,7,9,1880,1,3493,0,0,3,0,3,1,870,RM,Y,OldTown,1Fam,2.5Fin,295000
305,20,80.0,10386,8,5,2004,1,2000,1,0,2,0,3,0,888,RL,Y,CollgCr,1Fam,1Story,305900
306,60,116.0,13474,7,5,1990,1,2243,1,0,2,1,4,1,746,RL,Y,SawyerW,1Fam,2Story,225000
307,50,,7920,6,7,1920,1,1406,0,0,1,0,3,0,0,RM,N,IDOTRR,1Fam,1.5Fin,89500
308,30,,12342,4,5,1940,1,861,0,0,1,0,1,0,539,RL,Y,Edwards,1Fam,1Story,82500
309,20,90.0,12378,9,5,2003,1,1944,1,0,2,0,3,3,708,RL,Y,NridgHt,1Fam,1Story,360000
310,60,,7685,6,5,1993,1,1501,0,0,2,1,3,1,420,RL,Y,Gilbert,1Fam,2Story,165600
311,20,50.0,8000,6,6,1948,1,972,1,0,1,0,2,1,240,RL,Y,NAmes,1Fam,1Story,132000
312,190,65.0,7800,5,7,1939,1,1118,1,0,1,0,3,1,410,RM,Y,OldTown,2fmCon,1.5Fin,119900
313,20,150.0,215245,7,5,1965,0,2036,2,0,2,0,3,2,513,RL,Y,Timber,1Fam,1Story,375000
314,70,60.0,9600,7,7,1925,1,1641,0,1,1,1,3,1,546,RM,Y,OldTown,1Fam,2Story,178000
315,60,71.0,7795,7,5,2004,1,1432,1,0,2,1,3,1,432,RL,Y,Gilbert,1Fam,2Story,188500
316,60,94.0,13005,7,7,1980,0,2353,1,0,2,1,4,1,484,RL,Y,NWAmes,1Fam,2Story,260000
317,60,75.0,9000,8,5,2006,0,1959,0,0,2,1,3,1,1025,FV,Y,Somerst,1Fam,2Story,270000
318,60,90.0,9900,7,5,1993,0,2646,1,0,2,1,4,1,656,RL,Y,NoRidge,1Fam,2Story,260000
319,80,,14115,7,5,1980,0,1472,1,0,2,0,3,2,588,RL,Y,NWAmes,1Fam,SLvl,187500
320,60,111.0,16259,9,5,2006,0,2596,0,0,3,1,4,0,840,RL,Y,NridgHt,1Fam,2Story,342643
321,60,99.0,12099,8,5,2004,0,2468,1,0,2,1,4,1,872,RL,Y,NridgHt,1Fam,2Story,354000
322,60,86.0,10380,7,5,1986,1,2730,1,0,2,1,4,1,576,RL,Y,SawyerW,1Fam,2Story,301000
323,20,49.0,5820,3,8,1955,1,1163,1,0,1,0,3,0,220,RM,Y,OldTown,1Fam,1Story,126175
324,80,96.0,11275,7,7,1967,1,2978,0,0,2,1,5,1,564,RL,Y,NAmes,1Fam,SLvl,242000
325,45,50.0,5000,5,6,1941,1,803,0,0,1,0,2,0,360,RM,Y,IDOTRR,1Fam,1.5Unf,87000
326,120,32.0,10846,8,5,1993,0,1719,2,0,1,1,1,2,473,RL,Y,Veenker,TwnhsE,1Story,324000
327,20,80.0,11600,6,5,1960,0,1383,0,0,1,1,3,0,292,RL,Y,NAmes,1Fam,1Story,145250
328,75,,11888,6,6,1916,1,2134,0,0,2,0,5,0,441,RL,Y,BrkSide,1Fam,2.5Unf,214500
329,70,60.0,6402,5,5,1920,1,1192,0,0,1,0,3,0,189,RM,N,IDOTRR,1Fam,2Story,78000
330,90,,10624,5,4,1964,0,1728,0,1,2,0,6,0,352,RL,Y,NAmes,Duplex,1Story,119000
331,20,70.0,8176,5,6,1958,1,1056,1,0,1,0,3,0,308,RL,Y,NAmes,1Fam,1Story,139000
332,20,85.0,10655,8,5,2003,1,1629,1,0,2,0,3,1,880,RL,Y,NridgHt,1Fam,1Story,284000
333,120,59.0,8198,7,5,2004,0,1358,1,0,2,0,2,1,484,RM,Y,NridgHt,TwnhsE,1Story,207000
334,60,59.0,9042,6,5,1998,0,1638,1,0,2,1,3,2,472,RL,Y,Gilbert,1Fam,2Story,192000
335,190,,164660,5,6,1965,0,1786,2,0,2,0,3,2,529,RL,Y,Timber,2fmCon,1.5Fin,228950
336,20,86.0,14157,9,5,2005,1,1922,1,0,2,0,3,1,676,RL,Y,StoneBr,1Fam,1Story,377426
337,20,70.0,9135,7,5,2002,1,1536,1,0,2,0,3,0,532,RL,Y,CollgCr,1Fam,1Story,214000
338,20,91.0,14145,7,7,1984,1,1621,1,0,2,0,3,0,440,RL,Y,NWAmes,1Fam,1Story,202500
339,20,66.0,12400,6,7,1958,1,1215,0,0,1,0,3,0,297,RL,Y,NAmes,1Fam,1Story,155000
340,60,85.0,14191,8,5,2002,0,1908,0,0,2,1,4,0,431,RL,Y,Timber,1Fam,2Story,202900
341,20,60.0,8400,4,4,1950,0,841,0,0,1,0,2,0,294,RH,N,SawyerW,1Fam,1Story,82000
342,90,,8544,3,4,1949,1,1040,0,0,2,0,2,0,400,RL,Y,NAmes,Duplex,1Story,87500
343,120,63.0,8849,9,5,2005,0,1684,0,0,2,0,2,1,564,RL,Y,NridgHt,TwnhsE,1Story,266000
344,160,36.0,2592,5,3,1976,0,1112,0,0,1,1,3,0,336,RM,Y,MeadowV,TwnhsE,2Story,85000
345,50,65.0,6435,6,5,1939,1,1577,0,0,1,0,3,1,312,RL,Y,BrkSide,1Fam,1.5Fin,140200
346,20,,12772,6,8,1960,1,958,0,0,1,0,2,0,301,RL,Y,NAmes,1Fam,1Story,151500
347,20,,17600,6,5,1960,0,1478,1,0,2,0,3,2,498,RL,Y,NAmes,1Fam,1Story,157500
348,160,36.0,2448,7,5,2003,1,1626,1,0,2,1,2,0,474,RL,Y,NridgHt,Twnhs,2Story,154000
349,60,56.0,20431,9,5,2005,1,2728,1,0,2,1,4,2,706,RL,Y,NridgHt,1Fam,2Story,437154
350,120,68.0,7820,9,5,2007,0,1869,0,0,2,0,2,1,617,RL,Y,NridgHt,TwnhsE,1Story,318061
351,120,,5271,7,5,1986,0,1453,1,0,1,1,2,1,445,RL,Y,ClearCr,1Fam,1Story,190000
352,50,60.0,9084,5,6,1941,1,1111,0,1,1,0,3,0,200,RL,Y,Edwards,1Fam,1.5Fin,95000
353,30,60.0,8520,6,8,1928,1,720,0,0,1,0,2,0,484,RM,Y,OldTown,1Fam,1Story,105900
354,50,60.0,8400,6,5,1940,1,1595,0,0,1,0,2,2,240,RL,Y,SWISU,1Fam,1.5Fin,140000
355,20,105.0,11249,6,5,1995,0,1200,1,0,2,0,3,0,521,RL,Y,CollgCr,1Fam,1Story,177500
356,20,,9248,6,6,1992,0,1167,1,0,2,0,3,0,400,RL,Y,Gilbert,1Fam,1Story,173000
357,120,44.0,4224,5,5,1976,0,1142,1,0,1,1,3,1,528,RM,Y,MeadowV,TwnhsE,1Story,134000
358,80,92.0,6930,5,4,1958,0,1352,0,1,1,0,3,0,288,RL,Y,ClearCr,1Fam,SLvl,130000
359,60,78.0,12011,8,5,1998,0,1924,1,0,2,1,3,1,592,RL,Y,NoRidge,1Fam,2Story,280000
360,85,,7540,6,6,1978,0,912,1,0,1,0,2,1,470,RL,Y,Mitchel,1Fam,SFoyer,156000
361,50,,9144,5,5,1940,1,1505,1,0,1,0,3,0,240,RL,N,BrkSide,1Fam,1.5Fin,145000
362,85,64.0,7301,7,5,2003,0,1922,0,0,3,0,4,1,672,RL,Y,Edwards,1Fam,SFoyer,198500
363,160,21.0,1680,6,8,1972,1,987,0,0,1,1,2,0,264,RM,Y,BrDale,Twnhs,2Story,118000
364,60,,18800,6,5,1976,0,1574,1,0,2,1,3,1,566,RL,Y,NWAmes,1Fam,2Story,190000
365,70,59.0,10690,5,7,1920,1,1344,0,0,1,0,3,0,468,RM,Y,IDOTRR,1Fam,2Story,147000
366,20,,9500,6,5,1963,0,1394,1,0,1,1,3,2,514,RL,Y,NAmes,1Fam,1Story,159000
367,80,101.0,9150,6,5,1962,0,1431,0,1,1,0,3,1,296,RL,Y,NAmes,1Fam,SLvl,165000
368,20,78.0,7800,5,6,1954,0,1268,0,0,1,0,2,1,244,RL,Y,NAmes,1Fam,1Story,132000
369,20,,9830,5,7,1959,1,1287,1,0,1,0,3,1,576,RL,Y,NAmes,1Fam,1Story,162000
370,60,,8121,6,5,2000,0,1664,0,0,2,1,3,1,460,RL,Y,Gilbert,1Fam,2Story,172400
371,50,80.0,17120,4,4,1959,0,1588,0,0,2,0,4,1,680,RL,N,ClearCr,1Fam,1.5Fin,134432
372,120,50.0,7175,6,5,1984,0,752,1,0,1,0,2,0,264,RL,Y,SawyerW,TwnhsE,1Story,125000
373,20,79.0,10634,5,6,1953,0,1319,1,0,1,0,3,0,270,RL,Y,NAmes,1Fam,1Story,123000
374,60,65.0,8200,7,5,2003,1,1928,0,0,2,1,4,1,434,RL,Y,CollgCr,1Fam,2Story,219500
375,30,,10020,1,1,1922,1,904,1,0,0,1,1,0,0,RL,Y,Edwards,1Fam,1Story,61000
376,85,57.0,8846,5,5,1996,0,914,0,0,1,0,2,0,576,RL,Y,CollgCr,1Fam,SFoyer,148000
377,60,102.0,11143,8,5,2004,1,2466,0,0,3,0,4,1,610,FV,Y,Somerst,1Fam,2Story,340000
378,20,88.0,11394,9,2,2010,0,1856,1,0,1,1,1,1,834,RL,Y,StoneBr,1Fam,1Story,394432
379,60,60.0,8123,6,5,2000,0,1800,0,0,2,1,3,1,463,RL,Y,Gilbert,1Fam,2Story,179000
380,50,50.0,5000,5,6,1924,1,1691,0,0,2,0,3,1,308,RL,Y,SWISU,1Fam,1.5Fin,127000
381,20,60.0,7200,7,5,2006,0,1301,1,0,2,0,2,1,572,FV,Y,Somerst,1Fam,1Story,187750
382,60,79.0,9245,7,5,2006,0,1797,0,0,2,1,3,0,639,RL,Y,CollgCr,1Fam,2Story,213500
383,45,60.0,9000,6,3,1928,1,784,0,0,1,0,2,0,360,RH,N,SawyerW,1Fam,1.5Unf,76000
384,60,,53107,6,5,1992,0,1953,1,0,2,1,3,2,501,RL,Y,ClearCr,1Fam,2Story,240000
385,120,43.0,3182,8,5,2004,1,1269,0,0,2,0,2,1,430,RL,Y,Blmngtn,TwnhsE,1Story,192000
386,50,58.0,8410,5,3,1910,1,1184,0,0,1,0,5,0,0,RL,N,Edwards,1Fam,1.5Fin,81000
387,80,72.0,7200,6,6,1976,0,1125,1,0,1,0,3,1,352,RL,Y,Edwards,1Fam,SLvl,125000
388,20,93.0,9382,7,5,1999,1,1479,0,0,2,0,3,0,577,RL,Y,CollgCr,1Fam,1Story,191000
389,60,96.0,12474,10,5,2007,1,2332,1,0,2,1,3,1,846,RL,Y,NridgHt,1Fam,2Story,426000
390,50,50.0,8405,5,8,1900,1,1367,1,0,1,0,4,0,384,RL,Y,Edwards,1Fam,1.5Fin,119000
391,60,71.0,12209,6,5,2001,1,1961,1,0,2,1,3,1,560,RL,Y,Mitchel,1Fam,2Story,215000
392,20,,8339,5,7,1959,0,882,0,0,1,0,3,0,294,RL,Y,NAmes,1Fam,1Story,106500
393,30,,7446,4,5,1941,1,788,0,0,1,0,2,2,0,RL,Y,BrkSide,1Fam,1Story,100000
394,50,60.0,10134,5,6,1940,1,1034,0,0,1,0,2,0,240,RL,Y,OldTown,1Fam,1.5Fin,109000
395,20,68.0,9571,5,6,1956,0,1144,1,0,1,0,3,0,596,RL,Y,Edwards,1Fam,1Story,129000
396,20,60.0,7200,5,5,1972,0,894,0,0,1,0,2,0,600,RL,Y,CollgCr,1Fam,1Story,123000
397,60,69.0,7590,5,5,1962,0,1812,0,0,2,0,4,1,264,RL,Y,NAmes,1Fam,2Story,169500
398,30,60.0,8967,5,2,1920,1,1077,0,0,1,0,2,0,338,RM,N,IDOTRR,1Fam,1Story,67000
399,60,65.0,8125,7,5,2006,1,1550,1,0,2,0,2,0,438,FV,Y,Somerst,1Fam,2Story,241000
400,120,38.0,14963,8,5,1996,0,1288,1,0,1,1,1,2,500,RL,Y,Veenker,TwnhsE,1Story,245500
401,20,65.0,8767,7,5,2005,0,1310,0,0,2,0,3,1,400,RL,Y,CollgCr,1Fam,1Story,164990
402,30,60.0,10200,5,8,1940,1,672,0,0,1,0,2,0,240,RL,N,Sawyer,1Fam,1Story,108000
403,60,93.0,12090,8,5,1998,0,2263,0,0,2,1,4,1,420,RL,Y,NoRidge,1Fam,2Story,258000
404,60,,10364,6,5,1995,1,1572,0,0,2,1,3,1,373,RL,Y,Gilbert,1Fam,2Story,168000
405,20,,9991,4,4,1976,1,1620,1,0,2,0,3,1,490,RL,Y,Sawyer,1Fam,1Story,150000
406,50,51.0,10480,6,5,1936,1,1639,0,0,1,0,3,0,240,RL,Y,SWISU,1Fam,1.5Fin,115000
407,70,63.0,15576,6,7,1915,1,1680,0,0,2,0,4,0,308,RL,Y,Crawfor,1Fam,2Story,177000
408,60,109.0,14154,7,5,2006,0,2172,0,0,2,1,3,1,947,RL,Y,NridgHt,1Fam,2Story,280000
409,60,85.0,10800,8,5,2007,1,2078,1,0,2,1,3,1,836,FV,Y,Somerst,1Fam,2Story,339750
410,20,68.0,9571,5,3,1958,0,1276,0,0,1,0,3,0,350,RL,Y,Edwards,1Fam,1Story,60000
411,190,100.0,34650,5,5,1955,0,1056,1,0,1,0,3,0,572,RL,Y,Gilbert,2fmCon,1Story,145000
412,20,,4403,7,5,2009,0,1478,1,0,2,1,2,1,484,FV,Y,Somerst,1Fam,1Story,222000
413,30,56.0,8960,5,6,1927,1,1028,0,0,1,0,2,1,360,RM,Y,OldTown,1Fam,1Story,115000
414,60,59.0,11228,7,5,1993,0,2097,0,1,2,1,3,1,678,RL,Y,SawyerW,1Fam,2Story,228000
415,20,73.0,8899,7,5,2007,0,1340,0,0,2,0,3,0,396,RL,Y,Gilbert,1Fam,1Story,181134
416,60,74.0,7844,6,7,1978,0,1400,0,0,1,1,3,1,440,RL,Y,Sawyer,1Fam,2Story,149500
417,70,86.0,22420,6,6,1918,1,2624,1,0,2,1,4,1,864,RL,N,Crawfor,1Fam,2Story,239000
418,50,60.0,8160,5,6,1940,1,1134,1,0,1,1,3,0,240,RL,P,Edwards,1Fam,1.5Fin,126000
419,20,65.0,8450,5,6,1968,0,1056,1,0,1,0,3,1,304,RL,Y,NAmes,1Fam,1Story,142000
420,90,78.0,7060,7,5,1997,1,1344,2,0,2,0,2,0,784,RM,Y,Mitchel,Duplex,SFoyer,206300
421,20,,16635,6,7,1977,1,1602,0,1,2,0,3,1,529,RL,Y,NWAmes,1Fam,1Story,215000
422,20,100.0,21750,5,5,1954,0,988,0,0,1,0,2,0,520,RL,N,Mitchel,1Fam,1Story,113000
423,60,80.0,9200,8,5,1998,0,2630,1,0,2,1,4,1,696,RL,Y,NoRidge,1Fam,2Story,315000
424,20,72.0,9000,6,5,1956,0,1196,1,0,1,0,2,1,297,RL,Y,NAmes,1Fam,1Story,139000
425,60,60.0,3378,7,8,1946,1,1389,0,0,1,1,3,2,240,RM,P,OldTown,1Fam,2Story,135000
426,80,,12800,7,5,1989,0,1644,1,1,2,0,2,1,569,RL,Y,SawyerW,1Fam,SLvl,275000
427,20,77.0,8593,4,6,1957,0,907,0,0,1,0,3,0,352,RL,Y,NAmes,1Fam,1Story,109008
428,20,64.0,6762,7,5,2007,0,1208,1,0,2,0,2,0,628,RL,Y,CollgCr,1Fam,1Story,195400
429,20,130.0,11457,6,5,1988,0,1412,1,0,2,0,3,1,576,RL,Y,Timber,1Fam,1Story,175000
430,160,21.0,1680,6,5,1971,0,987,0,0,1,1,2,0,264,RM,Y,BrDale,Twnhs,2Story,85400
431,50,60.0,5586,6,7,1920,1,1198,0,0,1,0,4,0,0,RM,N,OldTown,1Fam,1.5Fin,79900
432,160,24.0,1920,5,5,1971,0,1365,1,0,1,1,2,0,440,RM,Y,BrDale,TwnhsE,2Story,122500
433,60,100.0,10839,6,5,1997,1,1604,0,0,2,1,3,1,470,RL,Y,Gilbert,1Fam,2Story,181000
434,180,21.0,1890,4,7,1972,0,630,1,0,1,0,1,0,0,RM,Y,MeadowV,Twnhs,SFoyer,81000
435,60,43.0,10667,7,6,1996,0,1661,1,0,2,1,3,1,550,RL,Y,CollgCr,1Fam,2Story,212000
436,50,40.0,4400,6,8,1920,1,1118,0,0,1,0,2,0,440,RM,Y,OldTown,1Fam,1.5Fin,116000
437,45,50.0,6000,6,7,1926,1,904,0,0,1,0,2,0,180,RM,Y,BrkSide,1Fam,1.5Unf,119000
438,30,40.0,4280,5,6,1913,1,694,0,0,1,0,2,1,352,RL,P,Crawfor,1Fam,1Story,90350
439,50,67.0,12354,6,8,1920,1,1196,0,0,1,0,3,0,528,RL,Y,Edwards,1Fam,1.5Fin,110000
440,20,105.0,15431,10,5,2008,0,2402,1,0,2,0,2,2,672,RL,Y,NridgHt,1Fam,1Story,555000
441,90,92.0,12108,4,4,1955,0,1440,0,0,2,0,4,0,0,RL,Y,Edwards,Duplex,1Story,118000
442,50,52.0,6240,5,7,1930,1,1573,0,0,2,0,3,1,360,RM,P,BrkSide,1Fam,1.5Fin,162900
443,120,53.0,3922,7,5,2006,1,1258,0,0,2,0,2,1,648,RL,Y,Blmngtn,TwnhsE,1Story,172500
444,60,70.0,8750,7,5,1994,1,1908,1,0,2,1,4,1,493,RL,Y,CollgCr,1Fam,2Story,210000
445,20,73.0,9855,6,5,1956,0,1689,0,0,1,0,3,1,480,RL,Y,Edwards,1Fam,1Story,127500
446,20,137.0,16492,6,6,1966,1,1888,0,0,2,1,2,1,578,RL,Y,NAmes,1Fam,1Story,190000
447,60,,11214,7,5,1998,1,1886,0,0,2,1,4,1,431,RL,Y,Gilbert,1Fam,2Story,199900
448,50,50.0,8600,6,6,1937,1,1376,0,0,2,0,3,1,198,RM,N,IDOTRR,1Fam,1.5Fin,119500
449,50,50.0,6000,3,7,1948,1,1183,0,0,1,1,2,0,308,RM,Y,OldTown,1Fam,1.5Fin,120000
450,30,70.0,5684,6,8,1930,1,813,0,0,1,0,2,0,270,RM,N,OldTown,1Fam,1Story,110000
451,20,62.0,70761,7,5,1975,0,1533,1,0,2,0,2,2,576,RL,Y,ClearCr,1Fam,1Story,280000
452,60,,9303,6,5,1996,1,1756,1,0,2,1,3,0,422,RL,Y,Timber,1Fam,2Story,204000
453,60,75.0,9000,8,5,2008,0,1590,0,0,2,1,3,0,676,FV,Y,Somerst,1Fam,2Story,210000
